output_text,intput_text
hypertension,what is the uses of Doxazosin
besifloxacin,which medication is used for bacterial conjunctivitis
gastroesophageal reflux disease,what is the uses of Omeprazole-Sodium Bicarbonate
desoximetasone,which medication is used for atopic dermatitis
clarithromycin,which medication is used for pharyngitis due to streptococcus pyogenes
ampicillin,which medication is used for bacterial urinary tract infection
fever,"what is the uses of Pseudoeph-DM-GG-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
hemorrhoids,what is the uses of Lidocaine
Atopic Dermatitis,"what is the uses of Prednisolone, Prednisolone Sodium Phosphate"
pimecrolimus,which medication is used for atopic dermatitis
norgestimate-ethinyl estradiol,which medication is used for endometriosis
lisinopril,which medication is used for hypertension
hypertension,what is the uses of Benazepril
adenocarcinoma of pancreas,what is the uses of Oxaliplatin
methylprednisolone acetate,which medication is used for atopic dermatitis
gout,what is the uses of Etodolac
hypertension,what is the uses of Timolol Maleate
gastroesophageal reflux disease,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate"
naproxen sodium,which medication is used for gout
depression,what is the uses of Clomipramine
fibromyalgia,what is the uses of Amitriptyline
Atopic Dermatitis,"what is the uses of Betamethasone, Augmented"
capsaicin in castor oil,which medication is used for back pain
methyldopa,which medication is used for hypertension
amoxicillin,which medication is used for pharyngitis due to streptococcus pyogenes
hypercholesterolemia,what is the uses of Atorvastatin
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefadroxil
carvedilol,which medication is used for hypertension
isradipine,which medication is used for hypertension
levofloxacin in d5w,which medication is used for pyelonephritis
erythromycin ethylsuccinate,which medication is used for acute bacterial sinusitis
dimenhydrinate,which medication is used for vertigo
niacin,which medication is used for hypercholesterolemia
hemorrhoids,what is the uses of Hydrocortisone
Bacterial Conjunctivitis,what is the uses of Gatifloxacin
prevention of cerebrovascular accident,what is the uses of Pravastatin
cephalexin,which medication is used for pharyngitis due to streptococcus pyogenes
prednisolone sodium phosphate,which medication is used for atopic dermatitis
back pain,what is the uses of Menthol
cimetidine hcl,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Hydralazine
nortriptyline,which medication is used for depression
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefdinir
endometriosis,what is the uses of Norethin-Eth Estrad Biphasic
colestipol,which medication is used for hypercholesterolemia
neomycin-polymyxin-gramicidin,which medication is used for bacterial conjunctivitis
hypertension,what is the uses of Isradipine
Acute Bacterial Sinusitis,what is the uses of Azithromycin
neomycin-bacitracin-polymyxin,which medication is used for bacterial conjunctivitis
sulfadiazine,which medication is used for bacterial urinary tract infection
fever,"what is the uses of Choline,Magnesium Salicylate"
valacyclovir,which medication is used for chickenpox
Bacterial Urinary Tract Infection,what is the uses of Cefadroxil
gastroesophageal reflux disease,what is the uses of Omeprazole-Sodium Bicarbonate
diverticulitis of gastrointestinal tract,what is the uses of Piperacillin-Tazobactam
cefepime,which medication is used for bacterial urinary tract infection
back pain,what is the uses of Acetaminophen
hypertension,what is the uses of Carvedilol Phosphate
hemorrhoids,what is the uses of Phenylephrine Hcl
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefixime
pravastatin,which medication is used for prevention of cerebrovascular accident
Acute Bacterial Sinusitis,what is the uses of Moxifloxacin
ethacrynic acid,which medication is used for hypertension
gout,what is the uses of Naproxen Sodium
hypercholesterolemia,what is the uses of Fenofibric Acid (Choline)
Atopic Dermatitis,what is the uses of Fluocinolone-Skin Clnsr28
hypertension,what is the uses of Propranolol-Hydrochlorothiazid
hypertension,what is the uses of Diltiazem Hcl
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Alum-Mag Hydroxide-Simeth"
guanfacine,which medication is used for hypertension
depression,what is the uses of Imipramine Hcl
Bacterial Urinary Tract Infection,what is the uses of Ceftazidime
calcium carbonate-mag hydroxid,which medication is used for flatulence
flurandrenolide,which medication is used for atopic dermatitis
hydrocortisone acetate,which medication is used for hemorrhoids
chlorpheniramine-acetaminophen,which medication is used for fever
diverticulitis of gastrointestinal tract,what is the uses of Clindamycin In 5 % Dextrose
famotidine,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Indapamide
acyclovir,which medication is used for genital herpes simplex
hydrocortisone-iodoquinol,which medication is used for atopic dermatitis
ampicillin,which medication is used for acute bacterial sinusitis
mupirocin,which medication is used for furunculosis
crotamiton,which medication is used for scabies
Atopic Dermatitis,what is the uses of Hydrocortisone-Iodoquinl-Aloe2
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Penicillin V Potassium
gastroesophageal reflux disease,what is the uses of Esomeprazole Magnesium
quinapril-hydrochlorothiazide,which medication is used for hypertension
diflorasone-emollient,which medication is used for atopic dermatitis
doxylam-pe-dm-acetaminophen-gg,which medication is used for fever
fever,what is the uses of Pseudoephedrine-Ibuprofen
"capsaicin-menthol, capsaicin",which medication is used for back pain
dextromethorphan-benzocaine,which medication is used for sore throat
ampicillin,which medication is used for acute bacterial sinusitis
hypertension,what is the uses of Candesartan
hydrocortisone sod succ (pf),which medication is used for atopic dermatitis
etodolac,which medication is used for gout
vulvovaginal candidiasis,what is the uses of Miconazole-Skin Clnsr17
vertigo,what is the uses of Diphenhydramine Hcl
methyldopa-hydrochlorothiazide,which medication is used for hypertension
azithromycin,which medication is used for bacterial conjunctivitis
hypertension,what is the uses of Felodipine
cefpodoxime,which medication is used for pharyngitis due to streptococcus pyogenes
gastroesophageal reflux disease,what is the uses of Lansoprazole
hemorrhoids,what is the uses of Pramoxine-Zinc Acetate
Bacterial Urinary Tract Infection,what is the uses of Demeclocycline
meropenem,which medication is used for diverticulitis of gastrointestinal tract
Atopic Dermatitis,"what is the uses of Hydrocortisone, Pramoxine-Benzyl Alcohol"
vit e-glycerin-dimethicone,which medication is used for atopic dermatitis
herpes zoster,what is the uses of Acyclovir
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefixime
Bacterial Conjunctivitis,what is the uses of Ofloxacin
hypercholesterolemia,what is the uses of Rosuvastatin
Pharyngitis due to Streptococcus Pyogenes,"what is the uses of Penicillin G Benzathin,Procain"
Atopic Dermatitis,what is the uses of Hydrocortisone Valerate
pseudoeph-dm-gg-acetaminophen,which medication is used for fever
depression,what is the uses of Phenelzine
lidocaine-hydrocortisone-aloe,which medication is used for hemorrhoids
pantoprazole,which medication is used for gastroesophageal reflux disease
terazosin,which medication is used for hypertension
hypercholesterolemia,what is the uses of Simvastatin
fibromyalgia,what is the uses of Amitriptyline
verapamil,which medication is used for hypertension
"pseudoephed-dm-acetaminophen, phenylpropanolamine-gg, chlorpheniramine-pseudoephed",which medication is used for fever
niacin,which medication is used for hypercholesterolemia
"acetaminophen-pamabrom, ibuprofen",which medication is used for fever
propranolol-hydrochlorothiazid,which medication is used for hypertension
sore throat,what is the uses of Dextromethorphan-Benzocaine
pseudoeph-dm-gg-acetaminophen,which medication is used for fever
fever,what is the uses of Naproxen-Pseudoephedrine
"aluminum-magnesium hydroxide, calcium carbonate, alum-mag hydroxide-simeth",which medication is used for flatulence
fever,what is the uses of Phenyltoloxamine-Acetaminophen
fluocinolone and shower cap,which medication is used for atopic dermatitis
aluminum hydroxide gel,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Enalapril Maleate
hypertension,"what is the uses of Triamterene-Hydrochlorothiazid, Trichlormethiazide"
hypercholesterolemia,what is the uses of Niacin
hypertension,what is the uses of Telmisartan
metoclopramide hcl,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Fosinopril
gastroesophageal reflux disease,what is the uses of Famotidine
sore throat,what is the uses of DM-Benzocaine-Menthol
aluminum hydrox-magnesium carb,which medication is used for gastroesophageal reflux disease
Atopic Dermatitis,what is the uses of Vit E-Glycerin-Dimethicone
vulvovaginal candidiasis,what is the uses of Tioconazole
trolamine salicylate,which medication is used for back pain
niacin,which medication is used for hypercholesterolemia
ceftriaxone,which medication is used for bacterial urinary tract infection
herpes zoster,what is the uses of Valacyclovir
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
acetazolamide,which medication is used for edema
metronidazole,which medication is used for diverticulitis of gastrointestinal tract
fibromyalgia,what is the uses of Tramadol-Acetaminophen
phenylephrine-dm-acetaminophen,which medication is used for fever
scabies,what is the uses of Lindane
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Amoxicillin
Atopic Dermatitis,what is the uses of Dexamethasone Sodium Phos (PF)
clarithromycin,which medication is used for acute bacterial sinusitis
endometriosis,what is the uses of L Norgest/E.Estradiol-E.Estrad
hypertension,what is the uses of Metoprolol Succinate
Bacterial Urinary Tract Infection,what is the uses of Minocycline
Atopic Dermatitis,what is the uses of Cortisone
hypertension,what is the uses of Prazosin
vertigo,what is the uses of Diphenhydramine Hcl
hypertension,what is the uses of Losartan
cefuroxime axetil,which medication is used for impetigo
verapamil,which medication is used for hypertension
gastroesophageal reflux disease,what is the uses of Aluminum Hydrox-Magnesium Carb
hypertension,what is the uses of Bisoprolol Fumarate
hypertension,what is the uses of Triamterene-Hydrochlorothiazid
"aluminum-magnesium hydroxide, alum-mag hydroxide-simeth",which medication is used for gastroesophageal reflux disease
mupirocin,which medication is used for furunculosis
gentamicin,which medication is used for bacterial conjunctivitis
gastroesophageal reflux disease,what is the uses of Omeprazole
doxazosin,which medication is used for hypertension
gout,what is the uses of Ketoprofen
Bacterial Urinary Tract Infection,what is the uses of Doxycycline Calcium
armodafinil,which medication is used for sleepiness due to obstructive sleep apnea
hypertension,what is the uses of Olmesartan
depression,what is the uses of Nortriptyline
mitomycin,which medication is used for adenocarcinoma of pancreas
Bacterial Urinary Tract Infection,what is the uses of Cefepime
diverticulitis of gastrointestinal tract,what is the uses of Sulfamethoxazole-Trimethoprim
phenyltoloxamine-acetaminophen,which medication is used for fever
nicardipine,which medication is used for hypertension
famotidine,which medication is used for gastroesophageal reflux disease
fever,what is the uses of Indomethacin
pindolol,which medication is used for hypertension
prevention of cerebrovascular accident,what is the uses of Ramipril
endometriosis,what is the uses of Danazol
hypercholesterolemia,what is the uses of Niacin
cetirizine,which medication is used for atopic dermatitis
erythromycin,which medication is used for gastroesophageal reflux disease
paliperidone,which medication is used for infantile autism
indomethacin,which medication is used for gout
fosfomycin tromethamine,which medication is used for bacterial urinary tract infection
furunculosis,what is the uses of Mupirocin
clomipramine,which medication is used for depression
spironolactone,which medication is used for hypertension
hydrocortisone sod succinate,which medication is used for atopic dermatitis
endometriosis,what is the uses of Levonorg-Eth Estrad Triphasic
back pain,what is the uses of Capsaicin-Methyl Sal-Menthol
indomethacin,which medication is used for fever
furosemide,which medication is used for hypertension
diclofenac potassium,which medication is used for gout
hypercholesterolemia,what is the uses of Niacin
lansoprazole,which medication is used for gastroesophageal reflux disease
metoprolol succinate,which medication is used for hypertension
Bacterial Urinary Tract Infection,what is the uses of Levofloxacin
hypercholesterolemia,what is the uses of Colestipol
gentamicin,which medication is used for furunculosis
chlorothiazide,which medication is used for edema
miconazole nitrate,which medication is used for vulvovaginal candidiasis
amitriptyline,which medication is used for depression
Atopic Dermatitis,what is the uses of Flurandrenolide
fenofibrate,which medication is used for hypercholesterolemia
"aluminum-magnesium hydroxide, aluminum hydrox-magnesium carb, dihydroxyaluminum sod carb, alum-mag hydroxide-simeth",which medication is used for flatulence
"asa-acetaminophen-salicyl-caff, mg salicylat-acetaminophen-caf",which medication is used for fever
hydrochlorothiazide,which medication is used for hypertension
Acute Bacterial Sinusitis,what is the uses of Amoxicillin
Atopic Dermatitis,what is the uses of Fluocinolone
doxepin,which medication is used for depression
hypercholesterolemia,what is the uses of Fenofibrate Nanocrystallized
meclofenamate,which medication is used for gout
hydrocortisone acetate,which medication is used for atopic dermatitis
ramipril,which medication is used for hypertension
spironolactone,which medication is used for edema
phenylephrine-cocoa butter,which medication is used for hemorrhoids
Acute Bacterial Sinusitis,what is the uses of Clarithromycin
cefixime,which medication is used for bacterial urinary tract infection
prevention of cerebrovascular accident,what is the uses of Atorvastatin
magaldrate,which medication is used for gastroesophageal reflux disease
gastroesophageal reflux disease,what is the uses of Famotidine-Ca Carb-Mag Hydrox
hemorrhoids,"what is the uses of Phenylephrine-Zinc Oxide, Phenylephrn-Pramoxine-Mo-W.Pet"
diltiazem hcl,which medication is used for hypertension
hypertension,what is the uses of Amlodipine
fibromyalgia,what is the uses of Pregabalin
"menthol, camphor-methyl salicyl-menthol",which medication is used for back pain
pravastatin,which medication is used for hypercholesterolemia
pramoxine-calamine,which medication is used for hemorrhoids
fever,what is the uses of Phenyltoloxamine-Acetaminophen
prednisone,which medication is used for atopic dermatitis
Bacterial Urinary Tract Infection,what is the uses of Doxycycline Monohydrate
gastroesophageal reflux disease,what is the uses of Ranitidine Hcl
oseltamivir,which medication is used for influenza
gout,what is the uses of Diclofenac Potassium
endometriosis,what is the uses of Nafarelin
prevention of cerebrovascular accident,what is the uses of Evolocumab
modafinil,which medication is used for sleepiness due to obstructive sleep apnea
gout,what is the uses of Ibuprofen
cefditoren pivoxil,which medication is used for pharyngitis due to streptococcus pyogenes
triptorelin pamoate,which medication is used for endometriosis
pyelonephritis,what is the uses of Levofloxacin In D5W
Atopic Dermatitis,what is the uses of Prednicarbate
aspirin,which medication is used for fever
"doxylamin-pse-dm-acetaminophen, chlorphen-pe-dm-acetaminophen",which medication is used for fever
diphenhydramine hcl,which medication is used for vertigo
acetaminophen,which medication is used for fever
"cocoa butter-zinc oxide, zinc oxide",which medication is used for hemorrhoids
fluvoxamine,which medication is used for depression
"menthol, capsaicin",which medication is used for back pain
spironolacton-hydrochlorothiaz,which medication is used for hypertension
gout,what is the uses of Fenoprofen
asa-acetaminophen-salicyl-caff,which medication is used for fever
cefixime,which medication is used for pharyngitis due to streptococcus pyogenes
gout,what is the uses of Ibuprofen
hydrocortisone acetate,which medication is used for hemorrhoids
benazepril,which medication is used for hypertension
hypertension,what is the uses of Chlorothiazide
endometriosis,what is the uses of Norethindrone-Ethin Estradiol
moxifloxacin-sod.chloride(iso),which medication is used for acute bacterial sinusitis
nafarelin,which medication is used for endometriosis
hypercholesterolemia,what is the uses of Pitavastatin Calcium
Infantile Autism,what is the uses of Paliperidone
fever,what is the uses of Cpm-Pseudoeph-DM-Acetaminophen
hypertension,what is the uses of Guanfacine
gout,what is the uses of Diclofenac-Misoprostol
Bacterial Urinary Tract Infection,"what is the uses of Cefepime In Dextrose,Iso-Osm"
furunculosis,what is the uses of Mupirocin
fever,"what is the uses of Aspirin-Acetaminophen-Caffeine, Aspirin, Phenyltoloxamine-Acetaminophen"
edema,what is the uses of Triamterene
scabies,what is the uses of Crotamiton
gastroesophageal reflux disease,what is the uses of Lansoprazole
"ciprofloxacin hcl, ciprofloxacin",which medication is used for bacterial urinary tract infection
paclitaxel-protein bound,which medication is used for adenocarcinoma of pancreas
hypertension,what is the uses of Quinapril
depression,what is the uses of Imipramine Pamoate
vulvovaginal candidiasis,what is the uses of Clotrimazole
Bacterial Urinary Tract Infection,what is the uses of Cefuroxime Axetil
impetigo,what is the uses of Cefuroxime Axetil
hydralazine,which medication is used for hypertension
hypertension,what is the uses of Nifedipine
gastroesophageal reflux disease,what is the uses of Sucralfate
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin Hcl
edema,what is the uses of Spironolacton-Hydrochlorothiaz
ibuprofen-famotidine,which medication is used for gout
"dextromethorphan-guaifenesin, guaifenesin, cpm-pseudoeph-dm-acetaminophen",which medication is used for fever
indapamide,which medication is used for hypertension
endometriosis,"what is the uses of Norethin-E.Estradiol Triphasic, Norethindrone-Ethin Estradiol"
gastroesophageal reflux disease,what is the uses of Famotidine
adenocarcinoma of pancreas,what is the uses of Cisplatin
aluminum-magnesium hydroxide,which medication is used for gastroesophageal reflux disease
Bacterial Conjunctivitis,what is the uses of Ciprofloxacin Hcl
Bacterial Urinary Tract Infection,what is the uses of Levofloxacin In D5W
levofloxacin,which medication is used for pyelonephritis
diphenhydramine hcl,which medication is used for vertigo
fever,what is the uses of ASA-Acetaminophen-Salicyl-Caff
nitrofurantoin macrocrystal,which medication is used for bacterial urinary tract infection
fever,"what is the uses of Chlorphenir-Phenylephrn-Aspirn, Diphenhydramine-Acetaminophen, Cpm-Phenyleph-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
capsaicin-methyl sal-menthol,which medication is used for back pain
omeprazole-sodium bicarbonate,which medication is used for gastroesophageal reflux disease
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Clarithromycin
hydrocortisone,which medication is used for atopic dermatitis
lovastatin,which medication is used for hypercholesterolemia
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Azithromycin
Bacterial Urinary Tract Infection,what is the uses of Ampicillin Sodium
hypertension,what is the uses of Ramipril
triamcinolone-emollient comb86,which medication is used for atopic dermatitis
gout,what is the uses of Diclofenac Sodium
hypertension,what is the uses of Metoprolol Tartrate
hydrocortisone valerate,which medication is used for atopic dermatitis
tioconazole,which medication is used for vulvovaginal candidiasis
"chlorpheniramine-acetaminophen, chlorphen-ppa-acetaminophen",which medication is used for fever
metoprolol su-hydrochlorothiaz,which medication is used for hypertension
amlodipine-valsartan,which medication is used for hypertension
naproxen-pseudoephedrine,which medication is used for fever
hypertension,what is the uses of Verapamil
hypertension,what is the uses of Irbesartan-Hydrochlorothiazide
prevention of cerebrovascular accident,what is the uses of Lovastatin
hypercholesterolemia,what is the uses of Ezetimibe
enalapril-hydrochlorothiazide,which medication is used for hypertension
celecoxib,which medication is used for gout
doxylamine-dm-acetaminophen,which medication is used for fever
furunculosis,"what is the uses of Mupirocin Calcium, Mupirocin"
hypertension,what is the uses of Valsartan-Hydrochlorothiazide
prednisolone,which medication is used for atopic dermatitis
gastroesophageal reflux disease,what is the uses of Magnesium Hydroxide
rosuvastatin,which medication is used for hypercholesterolemia
hypertension,what is the uses of Chlorthalidone
doxycycline hyclate,which medication is used for bacterial urinary tract infection
penicillin g benzathine,which medication is used for pharyngitis due to streptococcus pyogenes
"ciprofloxacin hcl, ciprofloxacin",which medication is used for diverticulitis of gastrointestinal tract
"prednisolone, prednisolone sodium phosphate",which medication is used for atopic dermatitis
gastroesophageal reflux disease,what is the uses of Metoclopramide Hcl
magnesium oxide,which medication is used for gastroesophageal reflux disease
gout,what is the uses of Ibuprofen
norethindrone ac-eth estradiol,which medication is used for endometriosis
dimenhydrinate,which medication is used for vertigo
naproxen sodium,which medication is used for gout
phenyltoloxamine-acetaminophen,which medication is used for fever
betamethasone valerate,which medication is used for atopic dermatitis
depression,what is the uses of Nortriptyline
doxepin,which medication is used for atopic dermatitis
lidocaine,which medication is used for hemorrhoids
streptomycin,which medication is used for bacterial urinary tract infection
back pain,"what is the uses of Capsaicin-Menthol, Capsaicin"
cefaclor,which medication is used for bacterial urinary tract infection
spironolacton-hydrochlorothiaz,which medication is used for edema
phenylephrine hcl,which medication is used for hemorrhoids
pramipexole,which medication is used for fibromyalgia
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cephalexin
simethicone,which medication is used for flatulence
gastroesophageal reflux disease,what is the uses of Erythromycin
nisoldipine,which medication is used for hypertension
fever,what is the uses of Pseudoeph-DM-GG-Acetaminophen
Atopic Dermatitis,what is the uses of Fluocinonide
nizatidine,which medication is used for gastroesophageal reflux disease
gout,what is the uses of Naproxen
amitriptyline,which medication is used for depression
naproxen sodium,which medication is used for fever
"alum-mag hydroxide-simeth, calcium carbonate-simethicone",which medication is used for flatulence
endometriosis,what is the uses of Norethindrone Ac-Eth Estradiol
"salicylic acid, hydrocortisone",which medication is used for atopic dermatitis
hemorrhoids,what is the uses of Hydrocortisone
clonidine hcl,which medication is used for hypertension
"bismuth subg-balsam-znox-resor, starch, pramoxine-mineral oil-zinc",which medication is used for hemorrhoids
depression,what is the uses of Protriptyline
alclometasone,which medication is used for atopic dermatitis
"al hyd-mg tr-alg ac-sod bicarb, magaldrate, aluminum-magnesium hydroxide, calcium carbonate-mag hydroxid, aluminum hydrox-magnesium carb, calcium and magnesium carbonat, aluminum-magnesium-alginate, calcium carbonate, dihydroxyaluminum sod carb, alum-mag hydroxide-simeth",which medication is used for flatulence
sore throat,what is the uses of Benzocaine
chickenpox,what is the uses of Acyclovir
fever,what is the uses of ASA-Acetaminophen-Salicyl-Caff
hypertension,what is the uses of Methyldopa-Hydrochlorothiazide
ketoprofen,which medication is used for gout
"cefepime in dextrose,iso-osm",which medication is used for bacterial urinary tract infection
pravastatin,which medication is used for prevention of cerebrovascular accident
clindamycin phosphate,which medication is used for diverticulitis of gastrointestinal tract
"penicillin g benzathin,procain",which medication is used for pharyngitis due to streptococcus pyogenes
Atopic Dermatitis,what is the uses of Prednisone
menthol,which medication is used for back pain
amlodipine-benazepril,which medication is used for hypertension
amikacin,which medication is used for diverticulitis of gastrointestinal tract
gout,what is the uses of Indomethacin
chlorpheniram-dm-acetaminophen,which medication is used for fever
alum-mag hydroxide-simeth,which medication is used for gastroesophageal reflux disease
bacitracin,which medication is used for bacterial conjunctivitis
fever,"what is the uses of Pseudoephed-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen"
meniere's disease,what is the uses of Dimenhydrinate
diphenhydramine hcl,which medication is used for vertigo
dexamethasone sodium phosphate,which medication is used for atopic dermatitis
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Aluminum Hydrox-Magnesium Carb, Dihydroxyaluminum Sod Carb, Alum-Mag Hydroxide-Simeth"
doxorubicin,which medication is used for adenocarcinoma of pancreas
"pseudoeph-dm-gg-acetaminophen, cpm-pseudoeph-dm-acetaminophen",which medication is used for fever
prazosin,which medication is used for hypertension
gastroesophageal reflux disease,what is the uses of Erythromycin Ethylsuccinate
clonidine hcl,which medication is used for hypertension
Bacterial Urinary Tract Infection,what is the uses of Sulfadiazine
fluvastatin,which medication is used for prevention of cerebrovascular accident
depression,what is the uses of Nortriptyline
furunculosis,what is the uses of Gentamicin
Bacterial Conjunctivitis,what is the uses of Gentamicin
edema,what is the uses of Indapamide
trandolapril-verapamil,which medication is used for hypertension
"al hyd-mg tr-alg ac-sod bicarb, aluminum hydrox-magnesium carb, aluminum-magnesium-alginate",which medication is used for gastroesophageal reflux disease
fever,what is the uses of Doxylamin-PSE-DM-Acetaminophen
colorectal cancer,what is the uses of Fluorouracil
gout,what is the uses of Naproxen Sodium
ciprofloxacin hcl,which medication is used for bacterial conjunctivitis
aspirin,which medication is used for prevention of cerebrovascular accident
flatulence,"what is the uses of Calcium Carbonate-Mag Hydroxid, Alum-Mag Hydroxide-Simeth"
hypertension,what is the uses of Amlodipine-Olmesartan
desipramine,which medication is used for depression
"triamterene-hydrochlorothiazid, trichlormethiazide",which medication is used for edema
hemorrhoids,"what is the uses of Hydrocortisone Acetate, Bismuth Subg-Balsam-Znox-Resor"
Atopic Dermatitis,what is the uses of Triamcinolone Acetonide
atenolol-chlorthalidone,which medication is used for hypertension
nitrofurantoin,which medication is used for bacterial urinary tract infection
pseudoephed-dm-acetaminophen,which medication is used for fever
hemorrhoids,"what is the uses of Bismuth Subg-Balsam-Znox-Resor, Starch, Pramoxine-Mineral Oil-Zinc"
cefuroxime axetil,which medication is used for bacterial urinary tract infection
diverticulitis of gastrointestinal tract,what is the uses of Metronidazole In Nacl (Iso-Os)
magnesium hydroxide,which medication is used for gastroesophageal reflux disease
capsaicin-camphor-menthol,which medication is used for back pain
"activated charcoal-simethicone, simethicone",which medication is used for flatulence
hypertension,what is the uses of Benazepril
sulfamethoxazole-trimethoprim,which medication is used for bacterial urinary tract infection
Atopic Dermatitis,what is the uses of Hydrocortisone-Oatmeal-Aloe-E
hypertension,what is the uses of Telmisartan-Hydrochlorothiazid
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Erythromycin
flatulence,what is the uses of Simethicone
dimenhydrinate,which medication is used for meniere's disease
Atopic Dermatitis,what is the uses of Hydrocortisone Butyrate
famotidine-ca carb-mag hydrox,which medication is used for gastroesophageal reflux disease
phenyltoloxamine-acetaminophen,which medication is used for fever
Atopic Dermatitis,what is the uses of Alclometasone
fever,what is the uses of Naproxen Sodium
norethindrone acetate,which medication is used for endometriosis
gout,what is the uses of Mefenamic Acid
pantoprazole,which medication is used for gastroesophageal reflux disease
gastroesophageal reflux disease,what is the uses of Erythromycin Stearate
hemorrhoids,what is the uses of Hydrocortisone
Bacterial Urinary Tract Infection,what is the uses of Cefaclor
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin In 5 % Dextrose
endometriosis,what is the uses of Noreth-Ethinyl Estradiol-Iron
hydrocortisone,which medication is used for atopic dermatitis
vulvovaginal candidiasis,what is the uses of Terconazole
hypertension,what is the uses of Atenolol-Chlorthalidone
back pain,"what is the uses of ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf"
Atopic Dermatitis,what is the uses of Desonide
aspirin-acetaminophen-caffeine,which medication is used for fever
amoxicillin-pot clavulanate,which medication is used for bacterial urinary tract infection
Acute Bacterial Sinusitis,what is the uses of Levofloxacin
imipramine hcl,which medication is used for depression
fluocinonide-emollient,which medication is used for atopic dermatitis
captopril-hydrochlorothiazide,which medication is used for hypertension
telmisartan,which medication is used for hypertension
valsartan-hydrochlorothiazide,which medication is used for hypertension
Bacterial Urinary Tract Infection,what is the uses of Trimethoprim
duloxetine,which medication is used for fibromyalgia
Atopic Dermatitis,what is the uses of Dexamethasone
fluvastatin,which medication is used for prevention of cerebrovascular accident
gout,what is the uses of Celecoxib
rabeprazole,which medication is used for gastroesophageal reflux disease
erythromycin ethylsuccinate,which medication is used for pharyngitis due to streptococcus pyogenes
fever,"what is the uses of Pseudoeph-DM-GG-Acetaminophen, Chlorphen-PE-DM-Acetaminophen"
atenolol,which medication is used for hypertension
ampicillin sodium,which medication is used for bacterial urinary tract infection
flatulence,"what is the uses of Alum-Mag Hydroxide-Simeth, Calcium Carbonate-Simethicone"
ranitidine hcl,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Valsartan
Acute Bacterial Sinusitis,what is the uses of Ampicillin
mometasone,which medication is used for atopic dermatitis
levofloxacin,which medication is used for acute bacterial sinusitis
valacyclovir,which medication is used for herpes zoster
Influenza,what is the uses of Zanamivir
fibromyalgia,what is the uses of Pramipexole
hypercholesterolemia,what is the uses of Niacin
vertigo,what is the uses of Diphenhydramine Citrate
"aluminum-magnesium hydroxide, calcium carbonate-mag hydroxid, calcium and magnesium carbonat, calcium carbonate, alum-mag hydroxide-simeth",which medication is used for flatulence
back pain,"what is the uses of Cpm-PPA-DM-Acetaminophen, Acetaminophen"
chlorthalidone,which medication is used for edema
depression,what is the uses of Amitriptyline
atorvastatin,which medication is used for hypercholesterolemia
fever,what is the uses of Naproxen
hypertension,what is the uses of Quinapril-Hydrochlorothiazide
diverticulitis of gastrointestinal tract,what is the uses of Meropenem
Bacterial Urinary Tract Infection,what is the uses of Acetohydroxamic Acid
naproxen sodium,which medication is used for gout
ampicillin sodium,which medication is used for bacterial urinary tract infection
gastroesophageal reflux disease,what is the uses of Metoclopramide Hcl
back pain,what is the uses of Capsaicin
erythromycin,which medication is used for acute bacterial sinusitis
omeprazole-sodium bicarbonate,which medication is used for gastroesophageal reflux disease
Influenza,what is the uses of Oseltamivir
hydrocortisone,which medication is used for hemorrhoids
nifedipine,which medication is used for hypertension
nicardipine,which medication is used for hypertension
hypertension,what is the uses of Amlodipine-Benazepril
Atopic Dermatitis,what is the uses of Hydrocortisone Sod Succ (PF)
fever,"what is the uses of Aspirin, Buffered"
amitriptyline,which medication is used for fibromyalgia
fibromyalgia,what is the uses of Paroxetine Hcl
